Frame,Model,Class,Confidence,X1,Y1,X2,Y2
135,YOLOv10,person,0.89,1,100,638,473
135,YOLOv11,person,0.92,0,98,638,476
136,YOLOv10,person,0.87,1,100,637,472
136,YOLOv11,person,0.91,0,99,638,476
137,YOLOv10,person,0.87,1,100,637,472
137,YOLOv11,person,0.91,0,99,638,476
138,YOLOv10,person,0.87,1,100,637,472
138,YOLOv11,person,0.91,0,99,638,476
139,YOLOv10,person,0.97,1,112,610,478
139,YOLOv11,person,0.95,0,113,612,477
140,YOLOv10,person,0.82,1,130,588,479
140,YOLOv11,person,0.88,1,128,588,478
141,YOLOv10,person,0.96,1,146,584,479
141,YOLOv11,person,0.93,0,145,580,478
142,YOLOv11,person,0.59,0,126,604,476
143,YOLOv10,vase,0.52,218,75,388,402
143,YOLOv11,toothbrush,0.67,217,33,398,401
144,YOLOv10,person,0.8,1,20,637,410
144,YOLOv11,person,0.88,0,20,638,419
145,YOLOv11,toothbrush,0.66,225,90,405,447
146,YOLOv10,person,0.96,10,152,612,478
146,YOLOv11,person,0.94,8,152,610,479
147,YOLOv10,person,0.97,12,151,616,478
147,YOLOv11,person,0.94,14,151,614,479
148,YOLOv10,person,0.97,12,151,616,478
148,YOLOv11,person,0.94,14,151,614,479
149,YOLOv10,person,0.96,21,159,608,478
149,YOLOv11,person,0.94,18,160,609,479
150,YOLOv10,person,0.96,25,165,605,479
150,YOLOv11,person,0.94,18,166,605,479
151,YOLOv10,person,0.96,34,166,604,479
151,YOLOv11,person,0.94,33,167,605,479
152,YOLOv10,person,0.96,38,169,604,479
152,YOLOv11,person,0.94,36,168,602,479
153,YOLOv10,person,0.95,41,172,601,479
153,YOLOv11,person,0.94,41,170,600,479
154,YOLOv10,person,0.95,49,174,597,479
154,YOLOv11,person,0.95,50,173,596,479
155,YOLOv10,person,0.95,54,175,594,479
155,YOLOv11,person,0.95,54,175,594,479
156,YOLOv10,person,0.96,60,178,593,479
156,YOLOv11,person,0.95,61,177,592,479
157,YOLOv10,person,0.95,61,178,593,479
157,YOLOv11,person,0.95,62,177,592,479
158,YOLOv10,person,0.96,61,178,594,479
158,YOLOv11,person,0.95,62,177,593,479
159,YOLOv10,person,0.96,61,178,594,479
159,YOLOv11,person,0.95,62,177,593,479
160,YOLOv10,person,0.95,60,177,593,479
160,YOLOv11,person,0.95,61,177,593,479
161,YOLOv10,person,0.96,54,175,597,479
161,YOLOv11,person,0.95,54,175,597,479
162,YOLOv10,person,0.95,48,174,598,479
162,YOLOv11,person,0.94,46,172,596,479
163,YOLOv10,person,0.95,41,172,601,479
163,YOLOv11,person,0.94,41,170,600,479
164,YOLOv10,person,0.89,22,164,606,478
164,YOLOv11,person,0.93,20,165,614,479
165,YOLOv10,person,0.88,6,149,629,478
165,YOLOv11,person,0.94,1,149,622,478
166,YOLOv10,toothbrush,0.86,240,129,400,440
166,YOLOv11,toothbrush,0.77,236,116,405,437
167,YOLOv10,person,0.64,1,80,638,441
167,YOLOv11,person,0.92,0,81,638,468
168,YOLOv10,person,0.64,1,80,638,441
168,YOLOv11,person,0.92,0,81,638,468
169,YOLOv10,person,0.73,1,55,637,435
169,YOLOv11,person,0.92,0,55,638,454
170,YOLOv10,person,0.87,1,47,637,418
170,YOLOv11,person,0.91,0,45,638,447
171,YOLOv10,person,0.82,1,48,637,418
171,YOLOv11,person,0.92,0,47,638,449
172,YOLOv10,toothbrush,0.78,220,61,388,413
173,YOLOv10,toothbrush,0.78,220,61,388,413
174,YOLOv10,toothbrush,0.83,238,136,406,464
175,YOLOv10,person,0.94,40,177,597,479
175,YOLOv11,person,0.94,41,176,596,479
176,YOLOv10,person,0.93,22,162,621,478
176,YOLOv11,person,0.94,21,163,620,479
177,YOLOv10,person,0.93,22,162,621,478
177,YOLOv11,person,0.94,21,163,620,479
178,YOLOv10,person,0.93,37,173,608,479
178,YOLOv11,person,0.93,26,171,609,479
179,YOLOv10,person,0.93,50,179,604,479
179,YOLOv11,person,0.93,50,178,606,479
180,YOLOv10,person,0.86,36,169,617,479
180,YOLOv11,person,0.94,37,169,620,479
181,YOLOv10,person,0.92,42,164,617,478
181,YOLOv11,person,0.94,42,164,617,479
182,YOLOv10,person,0.92,42,164,617,478
182,YOLOv11,person,0.94,42,164,617,479
183,YOLOv11,person,0.92,65,180,605,479
184,YOLOv11,person,0.69,96,196,589,479
185,YOLOv10,vase,0.79,280,239,425,479
185,YOLOv11,toothbrush,0.91,278,219,429,479
186,YOLOv10,vase,0.79,280,239,425,479
186,YOLOv11,toothbrush,0.91,278,219,429,479
187,YOLOv11,person,0.64,269,311,421,479
188,YOLOv11,person,0.81,260,291,422,479
189,YOLOv10,person,0.66,260,296,424,479
189,YOLOv11,person,0.88,260,296,424,479
190,YOLOv10,person,0.71,260,294,426,479
190,YOLOv11,person,0.88,260,294,425,479
191,YOLOv10,person,0.72,258,293,425,479
191,YOLOv11,person,0.88,260,293,424,479
192,YOLOv11,person,0.82,248,291,418,479
193,YOLOv11,person,0.82,232,255,412,479
194,YOLOv11,person,0.82,232,255,412,479
195,YOLOv11,person,0.82,232,255,412,479
196,YOLOv10,person,0.69,249,255,449,479
196,YOLOv11,person,0.91,249,255,448,479
197,YOLOv11,person,0.77,129,226,520,479
198,YOLOv10,person,0.93,106,202,549,479
198,YOLOv11,person,0.92,104,203,548,479
199,YOLOv10,person,0.95,94,195,558,479
199,YOLOv11,person,0.93,96,194,556,479
200,YOLOv10,person,0.92,88,189,566,479
200,YOLOv11,person,0.94,89,190,565,479
201,YOLOv10,person,0.88,76,169,576,479
201,YOLOv11,person,0.92,76,170,577,479
202,YOLOv10,person,0.88,56,153,582,479
202,YOLOv11,person,0.92,57,149,580,479
203,YOLOv10,person,0.88,56,153,582,479
203,YOLOv11,person,0.92,57,149,580,479
204,YOLOv10,person,0.88,56,153,582,479
204,YOLOv11,person,0.92,57,149,580,479
205,YOLOv10,person,0.97,9,116,586,479
205,YOLOv11,person,0.95,6,117,588,478
206,YOLOv10,person,0.97,2,109,592,478
206,YOLOv11,person,0.95,1,109,590,478
207,YOLOv10,person,0.97,2,106,586,478
207,YOLOv11,person,0.95,1,107,588,478
208,YOLOv10,person,0.97,2,111,574,478
208,YOLOv11,person,0.95,1,111,577,478
209,YOLOv10,person,0.97,1,108,573,478
209,YOLOv11,person,0.95,1,109,576,478
210,YOLOv10,person,0.97,1,99,577,478
210,YOLOv11,person,0.95,0,100,578,478
211,YOLOv10,person,0.97,1,99,577,478
211,YOLOv11,person,0.95,0,100,578,478
212,YOLOv10,person,0.97,1,107,578,478
212,YOLOv11,person,0.96,0,108,580,478
213,YOLOv10,person,0.97,1,107,578,478
213,YOLOv11,person,0.96,0,108,580,478
214,YOLOv10,person,0.97,1,107,593,478
214,YOLOv11,person,0.96,0,108,593,478
215,YOLOv10,person,0.97,2,106,590,478
215,YOLOv11,person,0.95,1,108,590,478
216,YOLOv10,person,0.97,10,118,592,479
216,YOLOv11,person,0.95,10,118,594,478
217,YOLOv10,person,0.96,24,113,610,479
217,YOLOv11,person,0.95,22,114,609,479
218,YOLOv10,person,0.93,38,135,605,479
218,YOLOv11,person,0.93,40,138,605,478
219,YOLOv10,person,0.93,38,167,582,479
219,YOLOv11,person,0.93,48,167,582,479
220,YOLOv10,person,0.95,56,175,581,479
220,YOLOv11,person,0.94,56,174,582,479
221,YOLOv10,person,0.77,5,157,617,479
221,YOLOv11,person,0.81,16,165,622,478
222,YOLOv10,person,0.75,9,136,605,479
222,YOLOv11,person,0.92,10,137,610,478
223,YOLOv10,person,0.75,9,136,605,479
223,YOLOv11,person,0.92,10,137,610,478
224,YOLOv10,vase,0.71,245,236,374,479
224,YOLOv11,toothbrush,0.71,245,194,378,479
225,YOLOv10,person,0.92,138,241,522,479
225,YOLOv11,person,0.91,137,241,524,479
226,YOLOv10,person,0.87,137,230,620,479
226,YOLOv11,person,0.89,140,224,624,479
227,YOLOv10,person,0.91,101,199,626,479
227,YOLOv11,person,0.9,110,199,625,479
228,YOLOv10,person,0.95,104,188,630,479
228,YOLOv11,person,0.93,110,187,626,479
229,YOLOv10,bird,0.52,305,225,437,479
229,YOLOv11,person,0.63,129,214,604,479
230,YOLOv10,vase,0.58,309,256,437,479
230,YOLOv11,toothbrush,0.55,309,238,440,479
231,YOLOv10,vase,0.74,316,335,442,479
232,YOLOv10,vase,0.74,316,335,442,479
233,YOLOv11,person,0.54,314,360,448,479
236,YOLOv10,person,0.63,312,423,433,479
236,YOLOv11,person,0.78,312,422,434,479
